gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,40,Yes,Yes,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,91.01,3686.31,0
Female,0,Yes,No,72,Yes,No phone service,No,No,Yes,No,Two year,No,Electronic check,34.45,2520.72,0
Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,No,One year,Yes,Electronic check,73.01,0.0,1
Female,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,One year,Yes,Mailed check,54.9,1002.87,0
Male,0,No,No,31,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,Yes,Credit card,93.13,2898.68,1
Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Mailed check,77.11,2781.51,1
Male,1,No,No,5,No,Yes,DSL,No internet service,No,No,Month-to-month,No,Mailed check,68.56,377.63,0
Female,1,Yes,No,72,No,Yes,No,No,Yes,Yes,Two year,No,Credit card,34.86,2506.66,0
Female,0,Yes,No,28,No,No phone service,DSL,Yes,No internet service,No,One year,No,Bank transfer,61.92,1736.27,0
Male,0,No,Yes,5,Yes,No,No,No,No,Yes,One year,No,Bank transfer,18.0,50.64,0
Female,0,No,Yes,0,Yes,Yes,DSL,Yes,No,No,Month-to-month,No,Mailed check,56.17,146.67,0
Female,1,Yes,No,45,Yes,No phone service,DSL,Yes,Yes,Yes,Two year,Yes,Credit card,49.36,2197.44,0
Male,0,Yes,No,2,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Two year,No,Bank transfer,79.24,194.94,0
Male,0,No,Yes,4,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card,23.31,188.69,0
Female,1,No,No,25,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,Yes,Bank transfer,51.82,1228.29,1
Female,0,No,No,27,Yes,No phone service,No,Yes,No,No,Month-to-month,No,Bank transfer,41.31,1145.94,0
Male,0,No,No,34,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.38,761.92,0
Male,0,No,Yes,15,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,20.97,404.27,1
Male,0,Yes,No,44,Yes,No,DSL,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,46.68,2008.57,0
Female,0,No,No,72,Yes,No,DSL,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,58.0,4138.55,0
Female,0,No,No,9,Yes,No,DSL,No internet service,Yes,No,One year,No,Mailed check,50.78,454.5,0
Female,0,Yes,No,36,Yes,No,Fiber optic,No,No internet service,No,Month-to-month,No,Electronic check,43.64,1546.5,0
Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Credit card,67.77,4856.16,0
Female,0,Yes,No,34,Yes,No,Fiber optic,No,No internet service,Yes,Month-to-month,No,Electronic check,71.31,2525.96,1
Male,1,No,No,34,No,Yes,DSL,Yes,No,No,Month-to-month,No,Credit card,46.89,1600.51,1
Male,0,No,No,7,No,Yes,Fiber optic,No internet service,No,Yes,One year,Yes,Bank transfer,75.15,486.82,0
Female,0,Yes,No,22,Yes,No,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.64,1622.69,0
Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Mailed check,69.24,1681.9,1
Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,One year,Yes,Electronic check,80.21,2904.36,0
Female,0,Yes,No,72,Yes,No,DSL,No,Yes,No internet service,Month-to-month,Yes,Electronic check,56.55,4042.51,0
Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes,Mailed check,81.5,0.1,1
Male,0,Yes,No,2,Yes,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Electronic check,45.53,88.54,0
Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Credit card,76.79,149.7,0
Female,0,Yes,No,40,Yes,Yes,DSL,No,No internet service,Yes,Two year,No,Electronic check,75.61,2992.07,0
Female,0,Yes,No,4,Yes,No,DSL,No,No internet service,No internet service,Two year,Yes,Bank transfer,67.19,332.73,0
Female,1,Yes,No,29,Yes,No,DSL,No internet service,No,Yes,Two year,No,Mailed check,39.53,1175.11,0
Female,0,No,No,11,Yes,No,DSL,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,64.59,717.2,0
Female,0,Yes,No,18,Yes,No phone service,Fiber optic,No,No,No,Month-to-month,No,Mailed check,67.66,1199.91,1
Male,0,No,No,7,Yes,Yes,DSL,No internet service,Yes,Yes,One year,No,Bank transfer,65.98,548.5,0
Male,0,No,No,60,Yes,No,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,58.8,3470.42,1
Male,0,Yes,No,26,Yes,No phone service,DSL,No internet service,No,No,Month-to-month,Yes,Bank transfer,50.64,1291.8,1
Female,0,No,No,72,No,Yes,DSL,Yes,No,No,Month-to-month,No,Electronic check,51.54,3688.25,1
Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,Month-to-month,No,Bank transfer,72.58,1829.5,1
Female,1,Yes,No,3,Yes,Yes,DSL,Yes,Yes,No internet service,Two year,No,Electronic check,71.79,248.42,0
Male,0,Yes,Yes,5,Yes,No phone service,DSL,No,No internet service,Yes,Month-to-month,No,Electronic check,65.78,262.08,1
Male,0,Yes,No,72,No,No,Fiber optic,No,Yes,No,One year,No,Mailed check,58.29,4162.51,0
Female,0,Yes,No,38,No,No,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Mailed check,49.97,1921.16,0
Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,Mailed check,73.11,39.85,0
Male,0,No,No,36,Yes,No,No,No,No,No internet service,Month-to-month,No,Bank transfer,36.95,1310.19,0
Female,0,Yes,Yes,15,Yes,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Electronic check,60.69,919.05,0
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,Two year,Yes,Electronic check,70.78,729.57,0
Male,0,No,No,5,Yes,No,Fiber optic,Yes,No,No internet service,One year,Yes,Electronic check,99.11,509.43,0
Male,0,Yes,Yes,54,Yes,No,DSL,No internet service,Yes,No internet service,Two year,Yes,Bank transfer,32.41,1780.64,1
Male,0,No,No,1,Yes,No phone service,No,Yes,Yes,No,Two year,No,Mailed check,18.0,19.92,0
Female,0,No,No,10,Yes,No,Fiber optic,No internet service,Yes,Yes,One year,Yes,Mailed check,87.3,944.26,0
Female,1,No,Yes,10,No,No,Fiber optic,Yes,No,No,Two year,Yes,Bank transfer,62.58,662.02,0
Female,0,No,Yes,5,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,24.95,122.72,0
Female,0,Yes,No,21,Yes,Yes,Fiber optic,No internet service,No,Yes,Month-to-month,Yes,Mailed check,81.85,1702.79,0
Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,64.2,87.74,0
Female,0,No,No,10,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer,19.04,157.36,1
Female,1,Yes,No,72,Yes,No,DSL,No,No,No internet service,Month-to-month,No,Bank transfer,42.6,3053.46,0
Male,0,No,No,11,Yes,No,Fiber optic,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,67.08,717.33,0
Female,0,No,No,13,Yes,No phone service,Fiber optic,No,No,Yes,Two year,No,Electronic check,48.47,649.94,0
Female,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,No internet service,Month-to-month,Yes,Electronic check,82.09,1672.53,0
Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer,61.29,1483.35,1
Female,0,No,No,49,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card,38.14,1852.98,0
Female,1,No,No,6,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Month-to-month,No,Mailed check,72.32,443.34,1
Female,0,No,No,61,Yes,Yes,DSL,No internet service,No,No,Two year,No,Electronic check,57.7,3453.78,0
Female,0,No,No,42,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,20.19,838.53,0
Female,1,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,Two year,No,Credit card,82.9,3235.57,0
Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,One year,Yes,Credit card,69.08,171.27,0
Female,0,No,Yes,0,Yes,No,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer,60.11,61.55,0
Female,0,No,No,27,Yes,No,No,No,No internet service,Yes,Month-to-month,No,Credit card,28.17,811.2,0
Female,0,Yes,Yes,59,Yes,No,No,No internet service,No,No internet service,Two year,No,Electronic check,27.48,1586.14,0
Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,One year,Yes,Electronic check,92.54,2501.73,0
Male,0,No,No,7,Yes,Yes,DSL,No internet service,No,No,One year,Yes,Electronic check,50.17,262.36,0
Female,1,No,No,2,Yes,No,DSL,Yes,No,No,One year,No,Bank transfer,37.25,91.12,0
Female,0,Yes,Yes,36,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,44.36,1493.99,0
Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,64.9,2380.46,0
Male,0,No,No,5,No,Yes,DSL,Yes,No,No,Month-to-month,No,Mailed check,54.85,321.0,0
Male,0,Yes,No,0,Yes,Yes,No,No,No,No internet service,Two year,No,Electronic check,29.0,0.0,0
Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No,One year,Yes,Credit card,83.83,1319.65,1
Male,0,Yes,No,26,Yes,No,DSL,Yes,No,No internet service,Month-to-month,Yes,Electronic check,45.46,1073.23,0
Female,1,No,Yes,36,Yes,No phone service,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Mailed check,115.53,4154.51,1
Male,0,No,No,49,Yes,Yes,Fiber optic,No,No,No internet service,Month-to-month,No,Bank transfer,84.7,4089.44,0
Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,67.83,1882.89,0
Male,0,Yes,No,3,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer,31.1,170.72,0
Female,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,One year,Yes,Credit card,75.86,2668.91,0
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Two year,Yes,Credit card,74.15,5364.57,0
Female,0,No,Yes,70,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Credit card,52.48,3593.9,0
Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No internet service,No,Month-to-month,No,Electronic check,69.29,4166.49,0
Male,1,Yes,No,10,Yes,No,DSL,No,No internet service,Yes,One year,Yes,Bank transfer,56.21,570.15,0
Male,1,Yes,Yes,41,Yes,No,DSL,No internet service,Yes,No,One year,Yes,Electronic check,47.66,1913.91,0
Male,0,No,Yes,57,Yes,No phone service,No,No,No internet service,No internet service,One year,No,Electronic check,33.67,1951.86,0
Female,1,Yes,Yes,34,Yes,No,DSL,No internet service,No,Yes,One year,Yes,Electronic check,41.84,1506.23,0
Female,0,Yes,Yes,8,Yes,Yes,DSL,No,No,No,Month-to-month,No,Electronic check,46.1,319.66,0
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Month-to-month,No,Credit card,93.71,6702.25,1
Male,0,Yes,Yes,17,Yes,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,28.42,424.07,0
Male,0,No,No,4,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,56.51,213.34,0
Male,0,Yes,No,3,Yes,Yes,DSL,No,No internet service,No,Month-to-month,Yes,Mailed check,34.04,104.74,1
Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.97,2170.11,0
Male,1,No,No,17,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card,26.64,497.83,0
